season,round,race_name,date,time,circuit_id,circuit_name,city,country,lat,lng,url
2025,18,Singapore Grand Prix,2025-10-05,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,https://en.wikipedia.org/wiki/2025_Singapore_Grand_Prix
2025,19,United States Grand Prix,2025-10-19,19:00:00Z,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,https://en.wikipedia.org/wiki/2025_United_States_Grand_Prix
2025,20,Mexico City Grand Prix,2025-10-26,20:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,https://en.wikipedia.org/wiki/2025_Mexico_City_Grand_Prix
2025,21,São Paulo Grand Prix,2025-11-09,17:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,https://en.wikipedia.org/wiki/2025_S%C3%A3o_Paulo_Grand_Prix
2025,22,Las Vegas Grand Prix,2025-11-23,04:00:00Z,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,https://en.wikipedia.org/wiki/2025_Las_Vegas_Grand_Prix
2025,23,Qatar Grand Prix,2025-11-30,16:00:00Z,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,https://en.wikipedia.org/wiki/2025_Qatar_Grand_Prix
2025,24,Abu Dhabi Grand Prix,2025-12-07,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,https://en.wikipedia.org/wiki/2025_Abu_Dhabi_Grand_Prix
2026,1,Australian Grand Prix,2026-03-08,04:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,https://en.wikipedia.org/wiki/2026_Australian_Grand_Prix
2026,2,Chinese Grand Prix,2026-03-15,07:00:00Z,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,https://en.wikipedia.org/wiki/2026_Chinese_Grand_Prix
2026,3,Japanese Grand Prix,2026-03-29,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,https://en.wikipedia.org/wiki/2026_Japanese_Grand_Prix
2026,4,Miami Grand Prix,2026-05-03,20:00:00Z,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,https://en.wikipedia.org/wiki/2026_Miami_Grand_Prix
2026,5,Canadian Grand Prix,2026-05-24,20:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,https://en.wikipedia.org/wiki/2026_Canadian_Grand_Prix
2026,6,Monaco Grand Prix,2026-06-07,13:00:00Z,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,https://en.wikipedia.org/wiki/2026_Monaco_Grand_Prix
2026,7,Barcelona Grand Prix,2026-06-14,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,https://en.wikipedia.org/wiki/2026_Barcelona-Catalunya
